mode: set
jwks-server/main.go:49.32,51.16 2 1
jwks-server/main.go:51.16,53.3 1 0
jwks-server/main.go:54.2,71.3 5 1
jwks-server/main.go:75.30,80.27 4 1
jwks-server/main.go:80.27,81.39 1 1
jwks-server/main.go:81.39,83.4 1 1
jwks-server/main.go:85.2,85.50 1 1
jwks-server/main.go:91.34,98.24 5 1
jwks-server/main.go:98.24,100.28 1 1
jwks-server/main.go:100.28,101.39 1 1
jwks-server/main.go:101.39,103.10 2 1
jwks-server/main.go:106.3,106.36 1 1
jwks-server/main.go:106.36,109.4 2 1
jwks-server/main.go:110.8,112.28 1 1
jwks-server/main.go:112.28,113.40 1 1
jwks-server/main.go:113.40,115.10 2 1
jwks-server/main.go:118.3,118.36 1 1
jwks-server/main.go:118.36,121.4 2 1
jwks-server/main.go:125.2,126.24 2 1
jwks-server/main.go:126.24,128.3 1 1
jwks-server/main.go:128.8,130.3 1 1
jwks-server/main.go:132.2,139.16 4 1
jwks-server/main.go:139.16,142.3 2 0
jwks-server/main.go:143.2,143.52 1 1
jwks-server/main.go:147.32,152.2 4 1
jwks-server/main.go:155.13,159.2 3 0
